project-name,pom-jacoco,pom-cobertura,pom-javadoc,travis,gha,file-name,yml-codecov,yml-coveralls,yml-sonar,yml-jacoco,yml-cobertura,yml-javadoc,mvn-mvnw,candidate
apache/skywalking,No,Yes,No,No,Yes,plugins-test.3.yaml,No,No,No,No,No,No,Yes,Maybe
apache/skywalking,No,Yes,No,No,Yes,publish-docker.yaml,No,No,No,No,No,No,No,No
apache/shardingsphere,Yes,Yes,Yes,Yes,Yes,.travis.yml,Yes,No,No,No,Yes,No,Yes,No
apache/shardingsphere,Yes,Yes,Yes,Yes,Yes,ci.yml,No,No,No,No,Yes,No,Yes,Yes
apache/shardingsphere,Yes,Yes,Yes,Yes,Yes,it.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-android-arm32.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-android-arm64.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-android-x86.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-android-x86_64.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-cross-platform.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-linux-arm32.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-linux-arm64.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-linux-cuda-10.2-arm64.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-linux-cuda-11.0.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-linux-cuda-11.2.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-linux-x86_64-compat.yml,No,No,No,No,No,Yes,Yes,Yes
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-linux-x86_64.yml,No,No,No,No,No,Yes,Yes,Yes
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-mac.yml,No,No,No,No,No,Yes,Yes,Yes
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-windows-cuda-11.0.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-windows-cuda-11.2.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,build-deploy-windows.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,cpu-sanity-check-tests.yaml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,run-cpu-integration-tests.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,run-cpu-tests-sanity-checks.yml,No,No,No,No,No,No,Yes,Maybe
